[2017-04-25 20:58:14.047] 172 main.cpp:560 start
[2017-09-14 15:53:22.119] 176 main.cpp:560 start
[2017-09-14 16:37:07.976] 176 main.cpp:560 start
[2017-09-14 17:36:33.413] 576 aos_buf.c:84 apr_file_open failure, code:720003 系统找不到指定的路径。  .
[2017-09-14 17:36:33.414] 576 oss_util.c:314 Open read file fail, filename:d:/pic_dressed/ 0_chenzixun/3333.jpg
[2017-09-14 17:37:29.417] 576 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-14 17:37:29.417] 576 oss_util.c:314 Open read file fail, filename:d:/pic_dressed/0_chenzixun/4444.jpg
[2017-09-14 18:33:21.494] 176 main.cpp:560 start
[2017-09-16 16:04:35.481] 192 aos_buf.c:84 apr_file_open failure, code:720005 拒绝访问。  .
[2017-09-16 16:04:35.573] 192 oss_util.c:314 Open read file fail, filename:d:/pic_dressed/b57fc111533958da7e11c4da9aba7f20/3333.jpg
[2017-09-16 16:04:35.602] 556 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-16 16:04:35.602] 556 oss_util.c:314 Open read file fail, filename:d:/pic_dressed/b57fc111533958da7e11c4da9aba7f20/4444.jpg
[2017-09-16 16:18:44.936] 176 main.cpp:561 start
[2017-09-18 16:36:50.212] 600 aos_buf.c:84 apr_file_open failure, code:720003 系统找不到指定的路径。  .
[2017-09-18 16:36:50.223] 600 oss_util.c:314 Open read file fail, filename:
[2017-09-18 16:36:50.236] 580 aos_buf.c:84 apr_file_open failure, code:720003 系统找不到指定的路径。  .
[2017-09-18 16:36:50.236] 580 oss_util.c:314 Open read file fail, filename:01.png/matt.png
[2017-09-18 16:36:50.240] 600 aos_buf.c:84 apr_file_open failure, code:720003 系统找不到指定的路径。  .
[2017-09-18 16:36:50.240] 600 oss_util.c:314 Open read file fail, filename:01.png/dress.png
[2017-09-18 16:42:12.273] 600 aos_buf.c:84 apr_file_open failure, code:720003 系统找不到指定的路径。  .
[2017-09-18 16:42:12.273] 600 oss_util.c:314 Open read file fail, filename:01.png/matt.png
[2017-09-18 16:42:12.275] 580 aos_buf.c:84 apr_file_open failure, code:720003 系统找不到指定的路径。  .
[2017-09-18 16:42:12.275] 580 oss_util.c:314 Open read file fail, filename:01.png/dress.png
[2017-09-18 16:49:46.139] 580 aos_buf.c:84 apr_file_open failure, code:720003 系统找不到指定的路径。  .
[2017-09-18 16:49:46.140] 580 oss_util.c:314 Open read file fail, filename:01.png/matt.png
[2017-09-18 16:49:46.145] 600 aos_buf.c:84 apr_file_open failure, code:720003 系统找不到指定的路径。  .
[2017-09-18 16:49:46.145] 600 oss_util.c:314 Open read file fail, filename:01.png/dress.png
[2017-09-18 16:56:04.454] 600 aos_buf.c:84 apr_file_open failure, code:720005 拒绝访问。  .
[2017-09-18 16:56:04.455] 600 oss_util.c:314 Open read file fail, filename:d:/unzip/oss_test/1_chenzixun
[2017-09-18 16:56:11.290] 600 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-18 16:56:11.290] 600 oss_util.c:314 Open read file fail, filename:d:/unzip/oss_test/1_chenzixun/matt.png
[2017-09-18 16:56:11.292] 580 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-18 16:56:11.292] 580 oss_util.c:314 Open read file fail, filename:d:/unzip/oss_test/1_chenzixun/dress.png
[2017-09-18 17:44:31.463] 176 main.cpp:561 start
[2017-09-19 18:04:20.781] 576 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:04:20.827] 576 oss_util.c:314 Open read file fail, filename:d:/unzip/fd1552f86f9c6622f9268b6a4b8f9ef6/1_1/matt.png
[2017-09-19 18:04:20.858] 576 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:04:20.858] 576 oss_util.c:314 Open read file fail, filename:d:/unzip/fd1552f86f9c6622f9268b6a4b8f9ef6/1_1/dress.png
[2017-09-19 18:07:11.835] 576 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:07:11.836] 576 oss_util.c:314 Open read file fail, filename:d:/unzip/fd1552f86f9c6622f9268b6a4b8f9ef6/1_1/matt.png
[2017-09-19 18:07:11.837] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:07:11.837] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/fd1552f86f9c6622f9268b6a4b8f9ef6/1_1/dress.png
[2017-09-19 18:18:14.126] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:18:14.127] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_1/matt.png
[2017-09-19 18:18:14.132] 648 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:18:14.132] 648 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_1/dress.png
[2017-09-19 18:18:33.515] 648 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:18:33.515] 648 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_2/matt.png
[2017-09-19 18:18:33.521] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:18:33.521] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_2/dress.png
[2017-09-19 18:25:48.819] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:25:48.820] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_1/matt.png
[2017-09-19 18:25:48.825] 648 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:25:48.825] 648 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_1/dress.png
[2017-09-19 18:26:05.768] 648 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:26:05.769] 648 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_2/matt.png
[2017-09-19 18:26:05.773] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:26:05.773] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_2/dress.png
[2017-09-19 18:26:51.987] 648 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:26:51.988] 648 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_1/matt.png
[2017-09-19 18:26:51.994] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:26:51.994] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_1/dress.png
[2017-09-19 18:27:09.094] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:27:09.094] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_2/matt.png
[2017-09-19 18:27:09.100] 648 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:27:09.100] 648 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_2/dress.png
[2017-09-19 18:31:13.543] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:31:13.543] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_1/matt.png
[2017-09-19 18:31:13.548] 648 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:31:13.549] 648 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_1/dress.png
[2017-09-19 18:31:30.421] 648 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:31:30.422] 648 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_2/matt.png
[2017-09-19 18:31:30.427] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:31:30.427] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_2/dress.png
[2017-09-19 18:37:58.956] 648 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:37:58.956] 648 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_1/matt.png
[2017-09-19 18:37:58.962] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:37:58.962] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_1/dress.png
[2017-09-19 18:38:15.829] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:38:15.829] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_2/matt.png
[2017-09-19 18:38:15.836] 648 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:38:15.836] 648 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_2/dress.png
[2017-09-19 18:41:31.316] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:41:31.317] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_1/matt.png
[2017-09-19 18:41:31.322] 648 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:41:31.322] 648 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_1/dress.png
[2017-09-19 18:41:48.204] 648 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:41:48.204] 648 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_2/matt.png
[2017-09-19 18:41:48.209] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:41:48.209] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_2/dress.png
[2017-09-19 18:45:08.245] 648 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:45:08.245] 648 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_1/matt.png
[2017-09-19 18:45:08.250] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:45:08.251] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_1/dress.png
[2017-09-19 18:45:25.067] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:45:25.068] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_2/matt.png
[2017-09-19 18:45:25.083] 648 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:45:25.084] 648 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_2/dress.png
[2017-09-19 18:46:42.879] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:46:42.880] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_1/matt.png
[2017-09-19 18:46:42.894] 648 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:46:42.894] 648 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_1/dress.png
[2017-09-19 18:46:59.757] 648 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:46:59.757] 648 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_2/matt.png
[2017-09-19 18:46:59.763] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:46:59.763] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_2/dress.png
[2017-09-19 18:48:33.026] 648 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:48:33.027] 648 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_1/matt.png
[2017-09-19 18:48:33.032] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:48:33.032] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_1/dress.png
[2017-09-19 18:48:52.050] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:48:52.051] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_2/matt.png
[2017-09-19 18:48:52.056] 648 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:48:52.056] 648 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_2/dress.png
[2017-09-19 18:50:57.894] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:50:57.894] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_1/matt.png
[2017-09-19 18:50:57.900] 648 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:50:57.900] 648 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_1/dress.png
[2017-09-19 18:51:16.843] 648 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:51:16.843] 648 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_2/matt.png
[2017-09-19 18:51:16.855] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:51:16.855] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_2/dress.png
[2017-09-19 18:53:30.452] 648 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:53:30.452] 648 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_1/matt.png
[2017-09-19 18:53:30.457] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:53:30.457] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_1/dress.png
[2017-09-19 18:53:49.391] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:53:49.392] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_2/matt.png
[2017-09-19 18:53:49.397] 648 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-19 18:53:49.397] 648 oss_util.c:314 Open read file fail, filename:d:/unzip/5c5d502fad88e14984aeac2b94a96fd1/1_2/dress.png
[2017-09-20 09:43:12.673] 648 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-20 09:43:12.713] 648 oss_util.c:314 Open read file fail, filename:d:/unzip/a511d192d43e0ce5c941e41f15fb7b05/1_2/matt.png
[2017-09-20 09:43:12.737] 604 aos_buf.c:84 apr_file_open failure, code:720002 系统找不到指定的文件。  .
[2017-09-20 09:43:12.737] 604 oss_util.c:314 Open read file fail, filename:d:/unzip/a511d192d43e0ce5c941e41f15fb7b05/1_2/dress.png
